<RES>My countrymen and women of the radio audience Of the untold values of the radio , one is the great intimacy it has brought among our people.|Through its mysterious channels we come to wider acquaintance with surroundings and men.|The greatest strength of the radio is the intimacy of its listeners.| The great gift of the radio to all members of our community |8.074225324610271|8.455606898405858|3.9843176230698334
<RES>Through its mysterious channels we come to wider acquaintance with surroundings and men.|The microphone for these few moments has been brought to the President s study in the East Wing of the White House.|We come to understand the world and the people, the world is not what it is, it is the world of the mind.| We do not know the world of our people , and that is not what it is , it is the world of our people |7.887250032035111|14.217309366325503|2.88981679840213
<RES>The microphone for these few moments has been brought to the President s study in the East Wing of the White House.|This room from which I speak was the scene of work and accomplishment of our Presidents for over a century.|He has a very good idea of what he is talking about.| He had not had any idea of what he had seen before |5.426815439167003|7.6556214383583105|3.326458917283584
<RES>This room from which I speak was the scene of work and accomplishment of our Presidents for over a century.|Into this room first came John Adams , who had taken over the reins of administration of the newly established republic from George Washington.|The first President of the United States, Abraham Lincoln, had a great deal to do with the development of our economy and the development of our people.| The first President of the United States , George Washington , had a great deal to do with the welfare of our country and the welfare of our people |3.947625849530666|6.989766562512826|1.8246102465982055
<RES>Into this room first came John Adams , who had taken over the reins of administration of the newly established republic from George Washington.|Each President in the long procession of years down to Roosevelt worked at this fireside.|He had been a member of the Senate for a long time, but had been unable to get the Senate to agree to a bill that would have required him to resign.| Adams had been a member of the Senate for a long time , but had been unable to get the Senate to vote on legislation issues it had not allowed him to consider |5.370742348119079|5.463087685762532|2.074893397452599
<RES>Each President in the long procession of years down to Roosevelt worked at this fireside.|In the refurnishing of the White House by Roosevelt , the President s study was moved to another room which was used by our Presidents from Taft to Coolidge.|The President was not only the most experienced man in the world.| Leah ##y was one of the most politically active in the country |6.561892885211559|10.218201486012026|14.07066764113269
<RES>In the refurnishing of the White House by Roosevelt , the President s study was moved to another room which was used by our Presidents from Taft to Coolidge.|But recent extensions to the White House made it possible for me to restore the President s study to this room , where still lingers the invisible presence of so many of our great men.|The President s study was moved to the other room which was used by the Presidents of the United States from Taft to Roosevelt.| The other study room was moved to the same room which was used by the Presidents of the United States from Taft to Roosevelt |4.675006190307929|6.487988598375243|3.7741499823611253
<RES>But recent extensions to the White House made it possible for me to restore the President s study to this room , where still lingers the invisible presence of so many of our great men.|It is here where the Adamses , father and son , Jefferson , Monroe , Jackson , Grant , McKinley , Roosevelt , and a score of other devoted men worked.|I have been a little disappointed in the fact that I have been unable to get a single person to speak to me about this issue.| I really am a little interested in the situation |5.690988575596341|4.038238481820164|15.617079635930411
<RES>It is here where the Adamses , father and son , Jefferson , Monroe , Jackson , Grant , McKinley , Roosevelt , and a score of other devoted men worked.|Here worked Lincoln.|The Adamses were a small group of men who had been raised by a family of men who had been raised by the same parents and grandparents.| The Adams ##es were a small group of women who were being raised by a group of men who had been raised by their own parents and grandparents |12.69786426468607|6.132558910989531|4.089156790759192
<RES>Here worked Lincoln.|In this room he signed the emancipation of the Negro race from slavery.|"I'm a little bit of a little bit of a big deal," Lincoln said.| " I was just a little girl , with a big mouth a ##ga ##pe , " he said |42.830278848750936|92.20281219276369|4.591870522198966
<RES>In this room he signed the emancipation of the Negro race from slavery.|It is a room crowded with memories of the courage and the high aspirations and the high accomplishment of p.|In this room he signed the abolition of the slave system.| In addition , he became a leader in the abolition movement |9.715667753636973|19.47771872948312|5.0040889118552245
<RES>It is a room crowded with memories of the courage and the high aspirations and the high accomplishment of p.|295 the American Presidents.|c.| J |13.012712838046735|14.509238928636387|35.266136338343536
<RES>295 the American Presidents.|It is a room in which have been marked many of our national triumphs.|"I think the American people have a right to know what is going on," he said.| " But the legal right to have a right to have children is very important , " he said |110.32727287955294|79.13281199917257|6.539292346073435
<RES>It is a room in which have been marked many of our national triumphs.|The problems of our country today crowd for entry here as they have each day for more than 130 years past.|It is a room where we have been given the chance to be a part of the future, a part of history and of our country, and a part of our future.| It is a room where we have had quite a chance to be a part of our past , a part of our living our our past , and a part of our future |13.638662654638143|12.873304571211824|4.648746482119345
<RES>The problems of our country today crowd for entry here as they have each day for more than 130 years past.|One problem has been ever constant , with each succeeding President that we should maintain and strengthen the will of the Nation and other nations for peace.|"We are a nation that is not a country of the rich.| " You are right , this is not a problem for our country |4.504510686037224|14.64495778828629|3.326458917283584
<RES>One problem has been ever constant , with each succeeding President that we should maintain and strengthen the will of the Nation and other nations for peace.|In this room have been taken those reluctant steps which have led our Nation to war and those willing steps which have again led to peace.|The President has made it clear that we will not tolerate the use of force in any way that would threaten the security of our country.| The President has made it clear that he will not allow the use of force in any way that would threaten the security of the nation |3.787275139791762|3.787275139791762|2.0887663666827354
<RES>In this room have been taken those reluctant steps which have led our Nation to war and those willing steps which have again led to peace.|Never have we had a President who was either a pacifist or a militarist.|We are not a country that is prepared to stand for what we believe is right.| We now have a war which is ours to fight and therefore an end to war |5.992808256005127|5.992808256005127|2.8971058017573816
<RES>Never have we had a President who was either a pacifist or a militarist.|Never has there been a President who did not pray that his administration might be one of peace , and that peace should be more assured for his successor.|He was a pacifist because he was willing to fight to protect his country.| He was a true wa ##if , and he was willing to fight for his very soul |5.05844829576088|9.490027572274604|22.04575570021153
<RES>Never has there been a President who did not pray that his administration might be one of peace , and that peace should be more assured for his successor.|Yet these men have never hesitated when war became the duty of the Nation.|The President has been a man of faith, and a man of faith, and a man of faith, and a man of faith, and a man of faith.| The President has been a man of faith , and a man of faith , and a man of faith , and a man of faith , and a man of faith |5.378274955182607|5.9417475087515|2.014134652006506
<RES>Yet these men have never hesitated when war became the duty of the Nation.|And always in these years the thought of our Presidents has been adequate preparedness for defense as one of the assurances of peace.|They have never hesitated when the Nation's strength and prosperity were threatened by the enemy.| They were only killed when the Nation ' s peace ##keeping efforts were interrupted by the war |5.159481038195794|7.472481436195451|6.439150347937857
<RES>And always in these years the thought of our Presidents has been adequate preparedness for defense as one of the assurances of peace.|But that preparedness must not exceed the barest necessity for defense or it becomes a threat of aggression against others and thus a cause of fear and animosity of the world.|We have been able to do that in the past, and it has always been the same.| We are strong enough to do everything in our power and even that has been not our enough |3.48594359216125|9.329111252373396|6.68116484149157
<RES>But that preparedness must not exceed the barest necessity for defense or it becomes a threat of aggression against others and thus a cause of fear and animosity of the world.|And there are other assurances of peace which have been devised in this room , advanced and supported by our Presidents over the past half century.|In the same way, the same is true for the other.| For this , we have as much as possible that it needs |4.305045583831077|11.270809766587641|8.248625868974859
<RES>And there are other assurances of peace which have been devised in this room , advanced and supported by our Presidents over the past half century.|Great aid has been given by them to the advance of conciliation , arbitration , and judicial determination for settlement of international disputes.|We have been assured that the United States will continue to defend our national security and our allies will continue to defend our national interests.| We also have confidence that the United States will continue to protect our national interests and our allies will continue to protect our international interests |4.082003162485553|3.983431431959498|3.1961996963175525
<RES>Great aid has been given by them to the advance of conciliation , arbitration , and judicial determination for settlement of international disputes.|These are the steps which prevent war.|The United Nations has also been given the power to declare war on the belligerents, and the international community has been given the power to intervene in international conflicts.| The United States was most recently given the power to declare war on the bell ##iger ##ents , and the international community has been given given power to conclude an international treaty |9.82744419421949|8.967933338295037|1.9956841648463002
<RES>These are the steps which prevent war.|Lately we and other nations have pledged ourselves never to use war as an instrument of national policy.|The first step is to stop the war.| The main interest is in preventing civil war |19.311706746258977|98.0635866622874|16.23162203479541
<RES>Lately we and other nations have pledged ourselves never to use war as an instrument of national policy.|And there is another such step which follows with impelling logic from those advances.|But it is not a matter of our own making.| But that is not what it is like for us |7.370827530298538|9.873505952159382|3.2652602761167535
<RES>And there is another such step which follows with impelling logic from those advances.|That is the reduction of arms.|The question arises: what is the best way of making a difference?| The question is , what is the best way to make a decision ?|18.209339534890564|27.050962260170653|3.4935465885157617
<RES>That is the reduction of arms.|Some months ago I proposed to the world that we should further reduce and limit naval arms.|The reduction of arms has been the result of a series of policy decisions that have been made to reduce the amount of arms that can be produced.| The reduction of arms has been the subject of a number of different attempts that have been made to reduce the number of arms allowed to be used |18.990773874529957|8.265166018787985|3.0729213496116965
<RES>Some months ago I proposed to the world that we should further reduce and limit naval arms.|Today we are engaged in a most hopeful discussion with other governments leading to this end.|I was wrong.| A good idea |11.582436222480272|41.19157823860603|12.017946582193465
<RES>Today we are engaged in a most hopeful discussion with other governments leading to this end.|These are proposals which would preserve our national defenses and yet would relieve the backs of those who toil from gigantic expenditures and the world from the hate and fear which flows from the rivalry in building warships.|We have to do it now.| We are very happy about this |6.877672080780858|25.327256343451864|7.65554295333805
<RES>These are proposals which would preserve our national defenses and yet would relieve the backs of those who toil from gigantic expenditures and the world from the hate and fear which flows from the rivalry in building warships.|And daily in this room do I receive evidence of almost universal prayer that this negotiation shall succeed.|The United States is the only country which can defend itself.| The general public is not the least likely to see them |6.132124677917205|7.700402808074106|6.954401750520393
<RES>And daily in this room do I receive evidence of almost universal prayer that this negotiation shall succeed.|For confidence that there will be peace is the first necessity of human progress.|I have been in this room for over twenty years.| I have been traveling the world for many years now |7.889990348307251|10.009085808529711|3.641300848917353
<RES>For confidence that there will be peace is the first necessity of human progress.|.|We must be prepared to take a step back from this situation.| We are working hard to improve the living conditions of the people |48.079661006005324|13.824207376600432|4.724863554283162
<RES>.|I have not anything of any news here to announce.|"It's not just a matter of money," he says.| " It ' s only a short matter of time , " he said |102.29799873063831|88.36010059048239|18.017729219474074
<RES>I have not anything of any news here to announce.|I thought perhaps you might like that I discuss the business situation with you just a little , but not from the point of view of publication at all simply for your own information.|I will update you when I have more information.| Is that so bad ? " He shook the bottle |5.987434818416338|38.385354401838306|7.364120172663331
<RES>I thought perhaps you might like that I discuss the business situation with you just a little , but not from the point of view of publication at all simply for your own information.|I see no particular reasons for making any public statements about it , either directly or indirectly.|It's a very interesting business situation and I think you should read the business section of the article.| It may not be a good idea , but I think we might have some mutual understanding on the matter |4.359020438878389|4.1489098045615975|2.1839897854300294
<RES>I see no particular reasons for making any public statements about it , either directly or indirectly.|The question is one somewhat of analysis.|I have no idea what the purpose of the article is, but I think the purpose of it is to show how much of a problem the government is having with the way it operates.| I have no idea what the purpose of this show is , but I think the purpose of it is to show how much of the average person really is happy with the way it works |17.739481376802004|6.8539512494169195|2.214571180683484
<RES>The question is one somewhat of analysis.|We have had a period of over speculation that has been extremely widespread , one of those waves of speculation that are more or less uncontrollable , as evidenced by the efforts of the Federal Reserve Board , and that ultimately results in a crash due to its own weight.|The answer is that it is possible that there is some sort of correlation between the number of people in the population and the number of people who are unemployed or underemployed.| The answer is that it is likely that there is some degree of correlation between the number of women in the workforce and the number of men who are employed or under ##re ##p ##loy ##ed |5.645025756187816|18.87575643361222|20.821164066741257
<RES>We have had a period of over speculation that has been extremely widespread , one of those waves of speculation that are more or less uncontrollable , as evidenced by the efforts of the Federal Reserve Board , and that ultimately results in a crash due to its own weight.|That crash was perhaps a little expedited by the foreign situation , in that one result of this whole phenomenon has been the congestion of capital in the loan market in New York in the driving up of money rates all over the world.|We are also aware of the fact that the Federal Reserve Board has a long history of making decisions that are in the public interest.| We all know because of the fact that the Federal Reserve Board has a unique way of making decisions that are in the public interest |3.092032509543398|4.048035191731541|2.6705650764254107
<RES>That crash was perhaps a little expedited by the foreign situation , in that one result of this whole phenomenon has been the congestion of capital in the loan market in New York in the driving up of money rates all over the world.|The foreign central banks having determined that they would bring the crisis to an end , at least so far as their own countries were concerned , p.|The problem is not that capital is not flowing into New York, but that it is flowing into New York, which is the capital of the country.| The problem is , the capital is not flowing in the country , and the money is flowing in New York , which is not part of the country |2.7228219138708045|4.136220301325098|1.6823565918803094
<RES>367 advanced money rates very rapidly in practically every European country in order to attract capital that had drifted from Europe into New York , back into their own industry and commerce.|Incidentally , the effect of increasing discount rates in Europe is much greater on their business structure than it is with us.|The capital was not there for the first time, but it was there for a long time.| The sun was not shining for the first time , but it was at the very last moment |3.0179873763068885|5.5741024216719275|3.289989821289896
<RES>Incidentally , the effect of increasing discount rates in Europe is much greater on their business structure than it is with us.|Our business structure is not so sensitive to interest rates as theirs is.|The reason why we have to pay higher rates is because of the fact that we are not doing our part to help the poor.| The main reason we want to increase discount rates is also for the fact that we are actually doing our best to improve the economy |7.312901497498891|4.6878507158456895|3.9225577263217293
<RES>Our business structure is not so sensitive to interest rates as theirs is.|So their sharp advancement of discount rates tended to affect this market , and probably expedited or even started this movement.|We have no interest in the interest rate on the debt," he said.| We also have concerns about the financial stability of our businesses , " he said |10.048037465882471|17.84821333534295|5.62190996330205
<RES>So their sharp advancement of discount rates tended to affect this market , and probably expedited or even started this movement.|But once the movement has taken place we have a number of phenomena that rapidly develop.|The market for the new products was already very large and growing rapidly, and the price of the old products had been declining.| The demand for the new products was growing very fast and very high , and the price of the new products had been rising |5.954714529927458|7.672647952822152|2.192650856269208
<RES>But once the movement has taken place we have a number of phenomena that rapidly develop.|The first is that the domestic banks in the interior of the United States , and corporations , withdraw their money from the call market.|We are seeing a lot of people who are in a state of flux, who are in a state of shock, who are experiencing the changes of their lives.| We are seeing a lot of people , people in a state of shock , who are in a state of shock , who have do terrible things in their lives |7.918865582578006|12.140164395315736|3.09950565568162
