Sim_index	Actual	gpt2_tuned	xlnet	lstm_attention	gpt2_untuned_bert	gpt2_untuned
1903	2.0	3.0	1.0	1.0	1.0	2.0
1344	5.0	3.0	5.0	2.0	5.0	5.0
184	3.0	3.0	2.0	2.0	1.0	1.0
606	3.0	2.0	3.0	1.0	2.0	3.0
2485	3.0	2.0	2.0	1.0	3.0	3.0
2586	4.0	1.0	3.0	1.0	3.0	1.0
2113	3.0	2.0	4.0	2.0	3.0	3.0
1054	3.0	2.0	3.0	3.0	3.0	3.0
687	3.0	2.0	5.0	1.0	2.0	4.0
1216	4.0	3.0	1.0	2.0	4.0	4.0
1903	2.0	1.0	2.0	2.0	1.0	2.0
1344	1.0	4.0	4.0	1.0	1.0	2.0
1039	4.0	5.0	4.0	1.0	2.0	2.0
2216	5.0	5.0	3.0	2.0	4.0	3.0
184	4.0	3.0	2.0	1.0	2.0	2.0
1348	5.0	3.0	2.0	2.0	5.0	5.0
2113	2.0	1.0	4.0	1.0	1.0	1.0
1288	5.0	1.0	4.0	1.0	3.0	3.0
1054	2.0	5.0	4.0	2.0	3.0	3.0
2478	5.0	2.0	2.0	1.0	3.0	4.0
1903	4.0	3.0	3.0	2.0	1.0	1.0
1039	4.0	4.0	1.0	1.0	4.0	3.0
2564	4.0	1.0	3.0	1.0	2.0	3.0
631	4.0	1.0	2.0	1.0	2.0	2.0
606	3.0	1.0	2.0	1.0	2.0	4.0
2485	2.0	1.0	3.0	1.0	4.0	5.0
2113	2.0	1.0	4.0	1.0	2.0	3.0
1054	5.0	4.0	2.0	1.0	3.0	2.0
687	1.0	1.0	4.0	1.0	5.0	4.0
1216	2.0	4.0	3.0	1.0	1.0	4.0
223	4.0	3.0	3.0	1.0	3.0	2.0
1903	5.0	3.0	4.0	2.0	2.0	2.0
1039	5.0	3.0	5.0	2.0	4.0	3.0
631	4.0	4.0	2.0	1.0	3.0	2.0
2503	3.0	5.0	4.0	2.0	3.0	4.0
606	4.0	4.0	4.0	1.0	4.0	4.0
2485	4.0	4.0	4.0	1.0	4.0	4.0
2113	4.0	3.0	4.0	2.0	3.0	4.0
1054	4.0	5.0	3.0	2.0	4.0	4.0
2478	5.0	4.0	4.0	2.0	5.0	5.0
1903	5.0	2.0	3.0	1.0	3.0	4.0
1039	4.0	1.0	4.0	1.0	3.0	3.0
2216	4.0	1.0	3.0	1.0	3.0	1.0
631	3.0	1.0	1.0	1.0	2.0	2.0
184	3.0	4.0	2.0	1.0	1.0	1.0
2503	5.0	4.0	2.0	1.0	1.0	3.0
2586	5.0	1.0	4.0	1.0	3.0	2.0
2113	1.0	1.0	5.0	1.0	2.0	2.0
1054	3.0	1.0	3.0	1.0	2.0	1.0
687	4.0	1.0	1.0	1.0	1.0	3.0
1903	4.0	2.0	1.0	1.0	1.0	1.0
1344	4.0	4.0	2.0	1.0	4.0	4.0
2564	4.0	1.0	3.0	1.0	4.0	3.0
2503	4.0	1.0	3.0	1.0	2.0	4.0
1348	3.0	4.0	4.0	1.0	5.0	4.0
2485	3.0	1.0	1.0	1.0	3.0	1.0
2586	3.0	1.0	1.0	1.0	2.0	2.0
1288	4.0	1.0	3.0	1.0	3.0	4.0
687	4.0	2.0	2.0	1.0	1.0	2.0
1216	3.0	3.0	1.0	1.0	3.0	3.0
223	3.0	3.0	4.0	1.0	3.0	2.0
1903	4.0	2.0	2.0	2.0	2.0	2.0
1039	2.0	1.0	3.0	1.0	4.0	4.0
2216	2.0	3.0	2.0	2.0	4.0	3.0
631	3.0	2.0	1.0	2.0	2.0	2.0
184	2.0	4.0	4.0	2.0	2.0	2.0
2586	2.0	5.0	3.0	1.0	2.0	2.0
1288	1.0	2.0	4.0	2.0	2.0	2.0
1054	3.0	2.0	2.0	2.0	3.0	3.0
2478	3.0	4.0	4.0	1.0	4.0	4.0
1191	2.0	2.0	4.0	1.0	2.0	3.0
1937	3.0	3.0	3.0	3.0	3.0	3.0
278	4.0	3.0	3.0	2.0	3.0	4.0
2550	3.0	1.0	3.0	2.0	3.0	2.0
739	4.0	3.0	1.0	2.0	2.0	3.0
766	3.0	3.0	2.0	1.0	1.0	2.0
1596	3.0	3.0	2.0	2.0	2.0	3.0
1501	2.0	4.0	3.0	2.0	2.0	4.0
1195	3.0	3.0	3.0	1.0	2.0	3.0
1612	3.0	1.0	2.0	2.0	4.0	2.0
1903	2.0	3.0	1.0	1.0	2.0	3.0
1937	2.0	4.0	4.0	1.0	3.0	2.0
430	4.0	3.0	3.0	2.0	1.0	4.0
1871	4.0	3.0	3.0	1.0	4.0	3.0
278	3.0	2.0	3.0	3.0	1.0	3.0
2139	4.0	3.0	3.0	1.0	2.0	2.0
2550	1.0	5.0	5.0	3.0	1.0	1.0
860	3.0	2.0	4.0	3.0	3.0	1.0
832	5.0	3.0	3.0	3.0	2.0	1.0
0	4.0	5.0	3.0	2.0	3.0	3.0
1018	3.0	2.0	3.0	2.0	5.0	5.0
650	5.0	5.0	5.0	3.0	5.0	5.0
