PRESIDENT,POLITICAL PARTY,TERM START,TERM END,NUMBER SPEECHES,TOTAL WORDS,NUMBER UNIQUE WORDS
adams,Federalist,1797,1801,9,14679,3463
arthur,Republican,1881,1885,11,49582,8048
bharrison,Republican,1889,1893,16,76939,10054
buchanan,Democratic,1857,1861,14,80993,9196
bush,Republican,1989,1993,23,99711,12075
carter,Democratic,1977,1981,22,101449,11567
cleveland,Democratic,1885,1889,31,156091,15299
cleveland,Democratic,1893,1897,,,
clinton,Democratic,1993,2001,39,151539,15288
coolidge,Republican,1923,1929,12,74442,10281
eisenhower,Republican,1953,1961,6,17711,4630
fdroosevelt,Democratic,1933,1945,49,130765,15474
fillmore,Whig,1850,1853,7,39219,6301
ford,Republican,1974,1977,14,40310,7344
garfield,Republican,1881,1881,1,2920,1128
grant,Republican,1869,1877,32,103378,11888
gwbush,Republican,2001,2009,39,107684,13838
harding,Republican,1921,1923,18,28710,5777
harrison,Whig,1841,1841,1,8435,2229
hayes,Republican,1877,1881,16,67557,8352
hoover,Republican,1929,1933,29,87856,10970
jackson,Democratic,1829,1837,26,157571,12749
jefferson,Democratic-Republican,1801,1809,24,40332,6659
johnson,Union,1865,1869,31,98374,10696
jqadams,Democratic-Republican,1825,1829,8,36797,5946
kennedy,Democratic,1961,1963,45,160890,16656
lbjohnson,Democratic,1963,1969,71,249548,18939
lincoln,Union,1861,1865,15,95539,10647
madison,Democratic-Republican,1809,1817,22,36212,5801
mckinley,Republican,1897,1901,14,92128,12280
monroe,Democratic-Republican,1817,1825,10,49961,6238
nixon,Republican,1969,1974,23,67308,8891
obama,Democratic,2009,2017,48,197553,19214
pierce,Democratic,1853,1857,15,63170,8484
polk,Democratic,1845,1849,25,103974,10144
reagan,Republican,1981,1989,59,213436,21806
roosevelt,Republican,1901,1909,22,196054,18815
taft,Republican,1909,1913,11,118442,12989
taylor,Whig,1849,1850,4,11292,2752
truman,Democratic,1945,1953,19,36310,6537
tyler,Whig,1841,1845,18,69281,8802
vanburen,Democratic,1837,1841,10,64643,8108
washington,No Party Designation,1789,1797,21,31615,6242
wilson,Democratic,1913,1921,32,79498,10076
,,,,,,
,,,,,,
,,,,OVERALL,3709898,111584
